,TeamName,LogID,TeamColor,GameMode,Map
288,Ohio Leif Village,3653461,Red,PL,pl_vigil_rc10
289,Ohio Leif Village,3653449,Red,PL,pl_vigil_rc10
290,Ohio Leif Village,3653400,Blue,PL,pl_vigil_rc10
291,Ohio Leif Village,3649865,Red,PL,pl_upward_f10
292,Ohio Leif Village,3649798,Blue,KOTH,koth_ashville_final1
293,Ohio Leif Village,3649223,Blue,KOTH,koth_product_final
294,Ohio Leif Village,3649200,Red,PL,pl_upward_f12
295,Ohio Leif Village,3649169,Blue,KOTH,koth_cascade_rc1a
296,Ohio Leif Village,3649123,Red,KOTH,koth_lakeside_r2
297,Ohio Leif Village,3645816,Red,KOTH,koth_lakeside_final
298,Ohio Leif Village,3645790,Blue,PL,pl_upward_f10
299,Ohio Leif Village,3657813,Red,KOTH,koth_product_final
300,Ohio Leif Village,3657776,Red,KOTH,koth_product_final
301,Ohio Leif Village,3673820,Red,KOTH,koth_lakeside_r2
302,Ohio Leif Village,3673806,Red,KOTH,koth_lakeside_r2
303,Ohio Leif Village,3665515,Blue,KOTH,koth_ashville_final1
304,Ohio Leif Village,3665486,Blue,KOTH,koth_ashville_final1
305,Ohio Leif Village,3665461,Blue,KOTH,koth_ashville_final1
306,Ohio Leif Village,3673780,Red,KOTH,koth_lakeside_r2
307,Ohio Leif Village,3657229,Blue,KOTH,koth_product_final
308,Ohio Leif Village,3657205,Blue,KOTH,koth_product_final
309,Ohio Leif Village,3657175,Blue,KOTH,koth_product_final
310,Ohio Leif Village,3657171,Blue,KOTH,koth_product_final
311,Ohio Leif Village,3657147,Blue,KOTH,koth_product_final
312,Ohio Leif Village,3657111,Blue,KOTH,koth_product_final
313,Ohio Leif Village,3657098,Blue,KOTH,koth_product_final
314,Ohio Leif Village,3652839,Blue,PL,pl_vigil_rc10
315,Ohio Leif Village,3652831,Blue,PL,pl_vigil_rc10
316,Ohio Leif Village,3652794,Red,PL,pl_vigil_rc10
317,Ohio Leif Village,3652765,Blue,PL,pl_vigil_rc10
318,Ohio Leif Village,3652743,Red,PL,pl_vigil_rc10
319,Ohio Leif Village,3652725,Blue,PL,pl_vigil_rc10
320,Ohio Leif Village,3652693,Red,PL,pl_vigil_rc10
321,Ohio Leif Village,3648532,Red,KOTH,koth_ashville_final1
322,Ohio Leif Village,3648510,Blue,PL,pl_swiftwater_final1
323,Ohio Leif Village,3648463,Blue,PL,pl_upward_f11
324,Ohio Leif Village,3648449,Red,PL,pl_upward_f11
325,Ohio Leif Village,3648422,Red,KOTH,koth_ashville_final
326,Ohio Leif Village,3662182,Blue,PL,pl_swiftwater_final1
327,Ohio Leif Village,3662156,Blue,PL,pl_swiftwater_final1
328,Ohio Leif Village,3662105,Red,PL,pl_swiftwater_final1
329,Ohio Leif Village,3662049,Blue,PL,pl_swiftwater_final1
330,Ohio Leif Village,3662018,Red,PL,pl_swiftwater_final1
331,Ohio Leif Village,3645370,Red,PL,pl_vigil_rc10
332,Ohio Leif Village,3645320,Red,KOTH,koth_product_final
333,Ohio Leif Village,3661453,Red,PL,pl_swiftwater_final1
334,Ohio Leif Village,3661446,Blue,PL,pl_swiftwater_final1
335,Ohio Leif Village,3661405,Red,PL,pl_swiftwater_final1
336,Ohio Leif Village,3661391,Blue,PL,pl_swiftwater_final1
337,Ohio Leif Village,3661366,Red,PL,pl_swiftwater_final1
338,Ohio Leif Village,3645305,Blue,PL,pl_upward_f11
339,Ohio Leif Village,3645262,Blue,KOTH,koth_ashville_final1
340,Ohio Leif Village,3641147,Red,KOTH,koth_product_final
341,Ohio Leif Village,3641125,Red,KOTH,koth_ashville_final
342,Dreamybull's Kitchen,3674498,Blue,KOTH,koth_lakeside_r2
343,Dreamybull's Kitchen,3674496,Red,KOTH,koth_lakeside_r2
344,Dreamybull's Kitchen,3674474,Red,KOTH,koth_lakeside_r2
345,Dreamybull's Kitchen,3674414,Red,KOTH,koth_lakeside_r2
346,Dreamybull's Kitchen,3674358,Blue,KOTH,koth_lakeside_r2
347,Dreamybull's Kitchen,3674330,Blue,KOTH,koth_lakeside_r2
348,Dreamybull's Kitchen,3666890,Blue,KOTH,koth_ashville_final
349,Dreamybull's Kitchen,3666874,Blue,KOTH,koth_ashville_final
350,Dreamybull's Kitchen,3666845,Blue,KOTH,koth_ashville_final
351,Dreamybull's Kitchen,3666823,Red,KOTH,koth_ashville_final1
352,Dreamybull's Kitchen,3666810,Red,KOTH,koth_ashville_final1
353,Dreamybull's Kitchen,3666744,Red,KOTH,koth_ashville_final1
354,Dreamybull's Kitchen,3666264,Red,KOTH,koth_ashville_final1
355,Dreamybull's Kitchen,3666257,Red,KOTH,koth_ashville_final1
356,Dreamybull's Kitchen,3666223,Red,KOTH,koth_ashville_final1
357,Dreamybull's Kitchen,3666180,Red,KOTH,koth_ashville_final1
358,Dreamybull's Kitchen,3666174,Red,KOTH,koth_ashville_final1
359,Dreamybull's Kitchen,3666160,Red,KOTH,koth_ashville_final1
360,Dreamybull's Kitchen,3666119,Red,KOTH,koth_ashville_final1
361,Dreamybull's Kitchen,3665578,Blue,KOTH,koth_ashville_final1
362,Dreamybull's Kitchen,3665570,Blue,KOTH,koth_ashville_final1
363,Dreamybull's Kitchen,3665543,Blue,KOTH,koth_ashville_final1
364,Dreamybull's Kitchen,3665525,Red,KOTH,koth_ashville_final1
365,Dreamybull's Kitchen,3665521,Red,KOTH,koth_ashville_final1
366,Dreamybull's Kitchen,3665499,Red,KOTH,koth_ashville_final1
367,Dreamybull's Kitchen,3661478,Red,PL,pl_swiftwater_final1
368,Dreamybull's Kitchen,3661477,Red,PL,pl_swiftwater_final1
369,Dreamybull's Kitchen,3661459,Blue,PL,pl_swiftwater_final1
370,Dreamybull's Kitchen,3661424,Red,PL,pl_swiftwater_final1
371,Dreamybull's Kitchen,3661421,Red,PL,pl_swiftwater_final1
372,Dreamybull's Kitchen,3661389,Blue,PL,pl_swiftwater_final1
373,Dreamybull's Kitchen,3658537,Blue,KOTH,koth_product_final
374,Dreamybull's Kitchen,3658491,Blue,KOTH,koth_product_final
375,Dreamybull's Kitchen,3658460,Blue,KOTH,koth_product_final
376,Dreamybull's Kitchen,3658428,Blue,KOTH,koth_product_final
377,Dreamybull's Kitchen,3658382,Blue,KOTH,koth_product_final
378,Dreamybull's Kitchen,3657220,Blue,KOTH,koth_product_final
379,Dreamybull's Kitchen,3657208,Blue,KOTH,koth_product_final
380,Dreamybull's Kitchen,3657180,Blue,KOTH,koth_product_final
381,Dreamybull's Kitchen,3657170,Red,KOTH,koth_product_final
382,Dreamybull's Kitchen,3657169,Red,KOTH,koth_product_final
383,Dreamybull's Kitchen,3657136,Red,KOTH,koth_product_final
384,Dreamybull's Kitchen,3653567,Blue,PL,pl_vigil_rc10
385,Dreamybull's Kitchen,3653550,Blue,PL,pl_vigil_rc10
386,Dreamybull's Kitchen,3653522,Red,PL,pl_vigil_rc10
387,Dreamybull's Kitchen,3653502,Blue,PL,pl_vigil_rc10
388,Dreamybull's Kitchen,3653495,Red,PL,pl_vigil_rc10
389,Dreamybull's Kitchen,3652832,Red,PL,pl_vigil_rc10
390,Dreamybull's Kitchen,3652819,Blue,PL,pl_vigil_rc10
391,Dreamybull's Kitchen,3652773,Red,PL,pl_vigil_rc10
392,Dreamybull's Kitchen,3652759,Red,PL,pl_vigil_rc10
393,Dreamybull's Kitchen,3652756,Red,PL,pl_vigil_rc10
394,Dreamybull's Kitchen,3652720,Blue,PL,pl_vigil_rc10
395,Dreamybull's Kitchen,3649780,Red,KOTH,koth_product_final
396,Dreamybull's Kitchen,3649763,Blue,PL,pl_vigil_rc10
397,Dreamybull's Kitchen,3649734,Red,PL,pl_vigil_rc10
398,Dreamybull's Kitchen,3648542,Blue,PL,pl_vigil_rc9
399,Dreamybull's Kitchen,3648501,Red,KOTH,koth_product_final
400,Dreamybull's Kitchen,3648471,Blue,PL,pl_vigil_rc10
401,Dreamybull's Kitchen,3648419,Red,KOTH,koth_ashville_final
402,Dreamybull's Kitchen,3645366,Blue,PL,pl_vigil_rc10
403,Dreamybull's Kitchen,3645325,Blue,KOTH,koth_ashville_final
404,Dreamybull's Kitchen,3645305,Red,PL,pl_upward_f11
405,Dreamybull's Kitchen,3645262,Red,KOTH,koth_ashville_final1
406,Dreamybull's Kitchen,3657942,Blue,KOTH,koth_product_final
407,Dreamybull's Kitchen,3657900,Blue,KOTH,koth_product_final
408,Dreamybull's Kitchen,3657866,Blue,KOTH,koth_product_final
409,Dreamybull's Kitchen,3657831,Red,KOTH,koth_product_final
410,Dreamybull's Kitchen,3657830,Red,KOTH,koth_product_final
411,Dreamybull's Kitchen,3657816,Red,KOTH,koth_product_final
412,Dreamybull's Kitchen,3657792,Red,KOTH,koth_product_final
413,Dreamybull's Kitchen,3653453,Red,PL,pl_vigil_rc10
414,Dreamybull's Kitchen,3653426,Blue,PL,pl_vigil_rc10
415,Dreamybull's Kitchen,3653390,Red,PL,pl_vigil_rc10
416,Dreamybull's Kitchen,3649865,Blue,PL,pl_upward_f10
417,Dreamybull's Kitchen,3649798,Red,KOTH,koth_ashville_final1
418,Dreamybull's Kitchen,3641678,Red,KOTH,koth_product_final
