,Blue,Red,LogID,GameMode,Map
244,@MST,Unknown,3649174,KOTH,koth_ashville_final
245,Ohio Leif Village,Unknown,3649169,KOTH,koth_cascade_rc1a
246,@MST,Unknown,3649159,KOTH,koth_ashville_final
247,Dreamybull's Kitchen,Unknown,3649148,KOTH,koth_product_final
248,Unknown,@MST,3649133,PL,pl_vigil_rc10
249,Unknown,Dreamybull's Kitchen,3649124,PL,pl_vigil_rc10
250,Unknown,Ohio Leif Village,3649123,KOTH,koth_lakeside_r2
251,Dreamybull's Kitchen,@MST,3648542,PL,pl_vigil_rc9
252,FroggieLand,Ohio Leif Village,3648532,KOTH,koth_ashville_final1
253,Ohio Leif Village,FroggieLand,3648510,PL,pl_swiftwater_final1
254,@MST,Dreamybull's Kitchen,3648501,KOTH,koth_product_final
255,Dreamybull's Kitchen,Unknown,3648471,PL,pl_vigil_rc10
256,FroggieLand,Unknown,3648464,KOTH,koth_ashville_final1
257,Ohio Leif Village,Unknown,3648463,PL,pl_upward_f11
258,Unknown,Ohio Leif Village,3648449,PL,pl_upward_f11
259,Unknown,FroggieLand,3648438,PL,pl_upward_f11
260,Unknown,Ohio Leif Village,3648422,KOTH,koth_ashville_final
261,Unknown,Dreamybull's Kitchen,3648419,KOTH,koth_ashville_final
262,@MST,Unknown,3645921,PL,pl_vigil_rc10
263,Dreamybull's Kitchen,Worse Comp Format,3645912,PL,pl_vigil_rc10
264,Unknown,@MST,3645886,PL,pl_vigil_rc10
265,Impostors,Unknown,3645873,KOTH,koth_product_final
266,Dreamybull's Kitchen,Worse Comp Format,3645858,KOTH,koth_product_final
267,Unknown,Impostors,3645843,PL,pl_vigil_rc10
268,Unknown,@MST,3645839,KOTH,koth_ashville_final
269,Dreamybull's Kitchen,Ohio Leif Village,3645816,KOTH,koth_lakeside_final
270,@MST,Unknown,3645805,KOTH,koth_ashville_final
271,Ohio Leif Village,Dreamybull's Kitchen,3645790,PL,pl_upward_f10
272,@MST,Unknown,3645787,PL,pl_vigil_rc10
273,Unknown,@MST,3645765,PL,pl_vigil_rc10
274,Unknown,Ohio Leif Village,3645370,PL,pl_vigil_rc10
275,Dreamybull's Kitchen,@MST,3645366,PL,pl_vigil_rc10
276,Unknown,The Duddy Dudes,3645350,KOTH,koth_product_final
277,Unknown,Impostors,3645337,KOTH,koth_ashville_final1
278,Dreamybull's Kitchen,@MST,3645325,KOTH,koth_ashville_final
279,Unknown,Ohio Leif Village,3645320,KOTH,koth_product_final
280,Unknown,The Duddy Dudes,3645316,KOTH,koth_cascade_rc1a
281,Impostors,Unknown,3645310,PL,pl_vigil_rc10
282,Unknown,Dreamybull's Kitchen,3645305,PL,pl_upward_f11
283,@MST,Unknown,3645281,KOTH,koth_ashville_final1
284,The Duddy Dudes,Unknown,3645268,PL,pl_vigil_rc10
285,@MST,Unknown,3645263,KOTH,koth_lakeside_r2
286,Unknown,Dreamybull's Kitchen,3645262,KOTH,koth_ashville_final1
287,Unknown,Impostors,3645252,KOTH,koth_ashville_final1
288,The Duddy Dudes,Unknown,3645231,KOTH,koth_lakeside_r2
289,@MST,Unknown,3645230,KOTH,koth_lakeside_r2
290,Unknown,Impostors,3645229,PL,pl_vigil_rc10
291,Unknown,@MST,3644780,PL,pl_vigil_rc10
292,Unknown,Dreamybull's Kitchen,3644758,KOTH,koth_lakeside_r2
293,Unknown,@MST,3644746,KOTH,koth_product_final
294,Impostors,Unknown,3644732,KOTH,koth_product_final
295,Unknown,@MST,3644731,KOTH,koth_product_final
296,Dreamybull's Kitchen,Unknown,3644726,KOTH,koth_ashville_final1
